# Sensor type: Thingy
# Activity type: Sitting
# Activity subtype: Normal
# Subject id: s2063346
# Notes: thingy 1.25
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695752216332,-0.2841797,-0.49121094,0.7910156,0.15625,-0.03125,0.125,0.0,0.0,0.0
1695752216362,-0.2861328,-0.48632812,0.7939453,0.21875,-0.09375,0.0625,0.0,0.0,0.0
1695752216392,-0.2919922,-0.4951172,0.78027344,0.15625,-0.15625,0.03125,0.0,0.0,0.0
1695752216481,-0.2861328,-0.48632812,0.7998047,0.15625,0.03125,0.03125,0.0,0.0,0.0
1695752216484,-0.28808594,-0.48046875,0.7919922,0.15625,0.03125,-0.03125,0.0,0.0,0.0
1695752216511,-0.296875,-0.4873047,0.78808594,0.46875,0.09375,0.125,0.0,0.0,0.0
1695752216572,-0.28808594,-0.49121094,0.7910156,0.21875,-0.09375,0.25,0.0,0.0,0.0
1695752216602,-0.28808594,-0.48339844,0.7832031,0.46875,-0.21875,0.0625,0.875,-20.375,4.875
1695752216632,-0.28515625,-0.484375,0.7792969,0.15625,0.09375,-0.03125,0.0,0.0,0.0
1695752216692,-0.2998047,-0.49316406,0.79003906,0.28125,-0.03125,-0.15625,0.0,0.0,0.0
1695752216722,-0.28808594,-0.49609375,0.79003906,0.28125,0.34375,-0.15625,0.0,0.0,0.0
1695752216782,-0.29003906,-0.484375,0.7861328,0.40625,0.03125,0.0625,0.0,0.0,0.0
1695752216812,-0.2841797,-0.4814453,0.7832031,0.15625,0.09375,-0.03125,0.0,0.0,0.0
1695752216842,-0.2939453,-0.48242188,0.7871094,0.09375,-0.09375,0.0625,0.0,0.0,0.0
1695752216871,-0.2890625,-0.484375,0.80078125,0.21875,-0.09375,0.125,0.0,0.0,0.0
1695752216932,-0.29589844,-0.4970703,0.79589844,0.09375,-0.03125,0.0625,0.0,0.0,0.0
1695752216964,-0.29492188,-0.4892578,0.7861328,0.15625,-0.09375,0.125,0.0,0.0,0.0
1695752216993,-0.29492188,-0.48828125,0.78027344,0.09375,0.09375,0.125,0.0,0.0,0.0
1695752217052,-0.2861328,-0.48632812,0.7861328,0.21875,-0.03125,0.125,0.0,0.0,0.0
1695752217085,-0.29296875,-0.47753906,0.79003906,0.15625,-0.03125,0.03125,0.875,-20.0625,4.5625
1695752217111,-0.2939453,-0.47851562,0.78125,0.34375,-0.15625,0.1875,0.0,0.0,0.0
1695752217172,-0.2939453,-0.484375,0.7871094,0.28125,-0.09375,-0.03125,0.0,0.0,0.0
1695752217202,-0.29296875,-0.484375,0.78125,0.21875,0.03125,0.03125,0.0,0.0,0.0
1695752217235,-0.28808594,-0.48632812,0.7861328,0.21875,-0.15625,-0.09375,0.0,0.0,0.0
